ds,yhat
2025-05-17,777.1064572331939
2025-05-18,1004.8832518293517
2025-05-19,1213.450167305176
2025-05-20,1139.1471543734888
2025-05-21,842.5786791985316
2025-05-22,694.9676539669697
2025-05-23,733.0170357093789
2025-05-24,794.7584036395635
2025-05-25,1022.9358643220737
2025-05-26,1231.847969820458
2025-05-27,1157.8375742855205
2025-05-28,861.5113989415288
2025-05-29,714.093713974098
2025-05-30,752.2877620361535
2025-05-31,814.1242405812709
2025-06-01,1042.3451963841512
2025-06-02,1251.246016671549
2025-06-03,1177.165438654242
2025-06-04,880.705339939225
2025-06-05,733.0847077031586
2025-06-06,771.001397980006
2025-06-07,832.4809869729643
2025-06-08,1060.261050214472
2025-06-09,1268.6335365941025
2025-06-10,1193.9351407747438
2025-06-11,896.7674191198291
2025-06-12,748.3510309314506
2025-06-13,785.3877022502562
2025-06-14,845.9092025974901
2025-06-15,1072.6616620033083
2025-06-16,1279.9478903098945
2025-06-17,1204.1176008878133
2025-06-18,905.7872863390714
2025-06-19,756.1941341322436
2025-06-20,792.0575891647164
2025-06-21,851.427866614714
2025-06-22,1077.0697581400054
2025-06-23,1283.3044116878996
2025-06-24,1206.4990061186995
2025-06-25,907.2860891750137
2025-06-26,756.9169870081334
2025-06-27,792.1229121334258
2025-06-28,850.9630915233784
2025-06-29,1076.208274083465
2025-06-30,1282.1823107834766
2025-07-01,1205.251738981411
2025-07-02,906.0451448649558
2025-07-03,755.8067141996559
2025-07-04,791.2575954731292
2025-07-05,850.4443900845816
2025-07-06,1076.123117451155
2025-07-07,1282.6013330204078
2025-07-08,1206.2283119569386
2025-07-09,907.6150507834168
2025-07-10,757.9884733688115
2025-07-11,794.0534402370133
2025-07-12,853.8418502888119
2025-07-13,1080.097157758677
2025-07-14,1287.116958793642
2025-07-15,1211.2435391840363
2025-07-16,913.0841175154633
2025-07-17,763.8651562763797
2025-07-18,800.2943302745498
2025-07-19,860.4094376213757
2025-07-20,1086.9625773203381
2025-07-21,1294.2622549439245
2025-07-22,1218.6633206380532
2025-07-23,920.7864918805204
2025-07-24,771.8718564729435
2025-07-25,808.6399729297115
2025-07-26,869.139884211859
2025-07-27,1096.13240269104
2025-07-28,1303.9313629814087
2025-07-29,1228.892782470099
2025-07-30,931.6337166969654
2025-07-31,783.3852377204493
2025-08-01,820.8531819584891
2025-08-02,882.0660083180492
2025-08-03,1109.7581438442685
2025-08-04,1318.2115264337754
2025-08-05,1243.7452901877716
2025-08-06,946.9353785989018
2025-08-07,798.9685037663205
2025-08-08,836.5040801286344
2025-08-09,897.5234477916821
2025-08-10,1124.7147293633552
2025-08-11,1332.3159901982822
2025-08-12,1256.606602093583
2025-08-13,958.128545721887
2025-08-14,808.0420169587426
2025-08-15,842.9889110387849
2025-08-16,900.9434449784934
2025-08-17,1124.598209596281
2025-08-18,1328.2082715733527
2025-08-19,1248.0831815568254
2025-08-20,944.8085861345492
2025-08-21,789.6017796189124
2025-08-22,819.1747496742704
2025-08-23,871.5839678040095
2025-08-24,1089.615217669662
2025-08-25,1287.626094912078
2025-08-26,1202.0360593029998
2025-08-27,893.5457733265486
2025-08-28,733.4901101143164
2025-08-29,758.6984416697131
2025-08-30,807.3415238621456
2025-08-31,1022.3133436765883
2025-09-01,1218.0706401378309
2025-09-02,1131.1200606888137
2025-09-03,822.2347690985868
2025-09-04,662.8049685291995
2025-09-05,689.6960278223872
2025-09-06,741.0935987181613
2025-09-07,959.8841526289343
2025-09-08,1160.4937014073066
2025-09-09,1079.374704949135
2025-09-10,777.2230092797461
2025-09-11,625.3292916721257
2025-09-12,660.4386982084569
2025-09-13,720.5980430005993
2025-09-14,948.5389632282678
2025-09-15,1158.5197445688136
2025-09-16,1086.8157554466802
2025-09-17,793.9402561302044
2025-09-18,650.9999701587029
2025-09-19,694.5590050501896
2025-09-20,762.490386102765
2025-09-21,997.3634877381971
2025-09-22,1213.2899657935598
2025-09-23,1146.4180195486554
2025-09-24,857.1566443313943
2025-09-25,716.5341644538269
2025-09-26,761.0645459097092
2025-09-27,828.6006779409265
2025-09-28,1061.722848324004
2025-09-29,1274.5849732253566
2025-09-30,1203.4083864219988
2025-10-01,908.704844335748
2025-10-02,761.6330523799171
2025-10-03,798.8622479692314
2025-10-04,858.4220847687593
2025-10-05,1083.087117098871
2025-10-06,1287.2185362853281
2025-10-07,1207.2530695641417
2025-10-08,903.920816105555
2025-10-09,748.5964532113921
2025-10-10,778.1574817863515
2025-10-11,830.8288922111201
2025-10-12,1049.5626852926962
2025-10-13,1248.8750314794866
2025-10-14,1165.3311023817828
2025-10-15,859.7594613337945
2025-10-16,703.600543680362
2025-10-17,733.7629762992196
2025-10-18,788.4671782007035
2025-10-19,1010.6247160175367
2025-10-20,1214.676213789238
2025-10-21,1137.0778435865936
2025-10-22,838.5182523722222
2025-10-23,690.2704010771049
2025-10-24,729.0519884490617
2025-10-25,792.8738040306619
2025-10-26,1024.4243683464604
2025-10-27,1237.9135285408536
2025-10-28,1169.5648926568772
2025-10-29,879.8388060161575
2025-10-30,739.7901890889292
2025-10-31,785.9347521447793
2025-11-01,856.1027773451924
2025-11-02,1092.8286802025225
2025-11-03,1310.1988840480726
2025-11-04,1244.3477712633783
2025-11-05,955.6833138726674
2025-11-06,815.2466233244031
2025-11-07,859.5788789627984
2025-11-08,926.5747954702605
2025-11-09,1158.8708373537688
2025-11-10,1370.6907371701634
2025-11-11,1298.3381309268661
2025-11-12,1002.417988489756
2025-11-13,854.191177974565
2025-11-14,890.4357443429949
2025-11-15,949.2942017735284
2025-11-16,1173.65520242063
2025-11-17,1377.9923040604085
2025-11-18,1298.8498229914997
2025-11-19,997.0576256307061
2025-11-20,844.0793715395611
2025-11-21,876.8679554873839
2025-11-22,933.7076047365856
2025-11-23,1157.5911358620774
2025-11-24,1363.055216591277
2025-11-25,1286.663719984575
2025-11-26,989.2211005000138
2025-11-27,842.1203538170462
2025-11-28,882.1993286657228
2025-11-29,947.5848382912259
2025-11-30,1181.0730380831758
2025-12-01,1396.9688486044881
2025-12-02,1331.5744181510947
2025-12-03,1045.4084363917777
2025-12-04,909.5607210812608
2025-12-05,960.5556877104764
2025-12-06,1036.2039767704985
2025-12-07,1278.9905219394723
2025-12-08,1502.9216495551136
2025-12-09,1444.021013703395
2025-12-10,1162.555992559832
2025-12-11,1029.3987906743205
2025-12-12,1080.895692845632
2025-12-13,1154.7235973392342
2025-12-14,1393.2819858993298
2025-12-15,1610.5428192995364
2025-12-16,1542.5480880507048
2025-12-17,1249.6365979972004
2025-12-18,1102.8042196123492
2025-12-19,1138.571061221257
